id_game,name,n_genres,n_platforms,n_tags,release_year,success_score
4200,Portal 2,2,6,25,2011.0,1.0373
3328,The Witcher 3: Wild Hunt,2,7,20,2015.0,1.0247
3498,Grand Theft Auto V,1,7,19,2013.0,1.0237
58175,God of War (2018),1,2,27,2018.0,1.0155
4062,BioShock Infinite,2,7,21,2013.0,1.0091
2462,Uncharted 4: A Thief’s End,2,2,3,2016.0,0.998
28,Red Dead Redemption 2,1,3,33,2018.0,0.9969
58134,Marvel's Spider-Man,1,3,14,2018.0,0.9959
5286,Tomb Raider (2013),1,6,17,2013.0,0.9958
3636,The Last Of Us Remastered,2,1,9,2014.0,0.9955
4806,Mass Effect 2,2,4,17,2010.0,0.9892
29177,Detroit: Become Human,2,2,32,2018.0,0.9887
23027,The Walking Dead: Season 1,2,10,19,2012.0,0.9846
3990,The Last Of Us,2,2,1,2013.0,0.9805
3439,Life is Strange,1,9,24,2015.0,0.979
5679,The Elder Scrolls V: Skyrim,2,8,24,2011.0,0.9783
1450,INSIDE,5,6,22,2016.0,0.9767
4161,Far Cry 3,2,5,19,2012.0,0.9757
2819,Firewatch,2,6,16,2016.0,0.9746
2454,DOOM (2016),2,4,20,2016.0,0.973
1682,The Wolf Among Us,1,8,20,2013.0,0.9702
1030,Limbo,5,11,27,2010.0,0.9701
4248,Dishonored,3,5,20,2012.0,0.97
5703,Uncharted 3: Drake's Deception,1,2,3,2011.0,0.9688
1416,Mafia II,2,4,19,2010.0,0.9687
51325,The Last of Us Part II,3,2,12,2020.0,0.9676
42,What Remains of Edith Finch,2,5,17,2017.0,0.967
3287,Batman: Arkham Knight,1,4,20,2015.0,0.9653
3254,Journey,3,4,28,2012.0,0.9648
3696,Wolfenstein: The New Order,2,5,20,2014.0,0.9646
7689,Rise of the Tomb Raider,1,4,21,2015.0,0.9644
15002,The Stanley Parable,2,3,18,2013.0,0.964
278,Horizon Zero Dawn,2,2,25,2017.0,0.9636
41494,Cyberpunk 2077,3,6,32,2020.0,0.9618
17572,Batman: Arkham Asylum Game of the Year Edition,3,4,20,2010.0,0.9613
28623,Batman: Arkham City,1,7,7,2011.0,0.9602
17576,Batman: Arkham City - Game of the Year Edition,2,6,21,2012.0,0.9596
4280,Max Payne 3,2,4,20,2012.0,0.9579
3612,Hotline Miami,4,6,21,2012.0,0.9567
2743,Heavy Rain,2,3,23,2010.0,0.9558
10064,Assassin’s Creed Brotherhood,1,6,18,2010.0,0.9531
3604,Metro: Last Light Redux,2,6,22,2014.0,0.9525
480,Resident Evil 7: Biohazard,3,5,24,2017.0,0.9524
2551,Dark Souls III,2,3,22,2016.0,0.9488
4332,Spec Ops: The Line,2,4,24,2012.0,0.9485
3603,Metro 2033 Redux,2,6,27,2014.0,0.9483
923,Titanfall 2,2,3,28,2016.0,0.9478
3841,Assassin’s Creed IV: Black Flag,1,7,18,2013.0,0.9472
4550,Dead Space 2,2,4,19,2011.0,0.9466
58813,Resident Evil 2,3,6,7,2019.0,0.9464
4427,BioShock 2,2,7,19,2010.0,0.9459
4439,Mass Effect 3,2,5,9,2012.0,0.9458
16944,The Witcher 2: Assassins of Kings Enhanced Edition,1,3,23,2012.0,0.9457
865,Call of Duty: Black Ops,2,8,20,2010.0,0.945
257201,Star Wars Jedi: Fallen Order,2,4,19,2019.0,0.9448
13627,Undertale,2,8,20,2015.0,0.9436
15834,The Walking Dead: Season 2,2,10,19,2013.0,0.9414
18240,Brothers: A Tale of Two Sons,3,8,32,2013.0,0.9409
29028,Metro 2033,2,2,20,2010.0,0.9407
5563,Fallout: New Vegas,3,5,20,2010.0,0.9405
19487,Alan Wake,3,3,24,2010.0,0.9398
12536,Hellblade: Senua's Sacrifice,3,4,21,2017.0,0.9396
13194,To the Moon,5,6,33,2011.0,0.9396
4544,Red Dead Redemption,2,6,27,2010.0,0.9395
22511,The Legend of Zelda: Breath of the Wild,3,2,5,2017.0,0.9395
12447,The Elder Scrolls V: Skyrim Special Edition,2,3,21,2016.0,0.9388
864,Dishonored 2,2,3,23,2016.0,0.9387
3757,South Park: The Stick of Truth,2,6,21,2014.0,0.9374
4386,Saints Row: The Third,2,5,19,2011.0,0.9371
