n_genres,n_platforms,n_tags,release_year,is_top_genre_1,is_top_genre_2,is_top_genre_3,is_top_genre_4,is_top_genre_5,is_top_platform_1,is_top_platform_2,is_top_platform_3,is_top_platform_4,is_top_platform_5,is_top_tag_1,is_top_tag_2,is_top_tag_3,is_top_tag_4,is_top_tag_5,is_optimal_duration,playtime,success_category,name
2,5,5,2015.0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,low_success,D/Generation HD
4,6,13,2015.0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,3,moderate_success,Extreme Exorcism
3,4,13,2015.0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,moderate_success,Toto Temple Deluxe
4,7,10,2015.0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,4,moderate_success,Penarium
2,4,6,2015.0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,low_success,Standpoint
3,3,7,2015.0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,low_success,Kaiju Panic
2,4,9,2015.0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,5,moderate_success,Laserlife
4,4,15,2014.0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,low_success,Line of Defense Tactics
2,3,14,2016.0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,low_success,G Prime Into The Rain
2,4,4,2016.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,low_success,Replay: VHS is not dead
3,6,12,2015.0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,5,moderate_success,Ironcast
5,7,8,2013.0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,3,moderate_success,Tetrobot and Co.
3,5,12,2015.0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,5,moderate_success,Gryphon Knight Epic
3,5,4,2016.0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,3,low_success,Cubikolor
2,1,6,2011.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,low_success,White Knight Chronicles II
2,3,12,2017.0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,4,high_success,DiRT 4
1,1,3,2017.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,moderate_success,Farpoint
2,2,2,2019.0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,moderate_success,Golem
1,1,3,2017.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,high_success,Gran Turismo Sport
2,4,23,2017.0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,13,high_success,Middle-earth: Shadow of War
2,2,21,2017.0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,3,high_success,Nex Machina
5,4,19,2017.0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,4,high_success,Pyre
1,3,33,2018.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,21,high_success,Red Dead Redemption 2
2,4,21,2017.0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,12,high_success,South Park: The Fractured But Whole
